,modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot
0,1,4,2,1,2,1,1,2,1,2
1,2,4,2,1,3,1,1,2,1,2
2,1,4,2,1,3,1,1,2,1,1
3,2,4,2,1,3,1,1,2,1,2
4,2,0,2,1,3,1,1,2,1,2
5,2,0,2,1,2,1,1,2,1,2
6,2,0,2,1,2,1,1,2,1,1
7,2,0,2,1,2,1,1,2,1,2
8,2,2,2,1,3,1,1,2,1,2
9,1,3,2,1,3,1,1,2,1,1
10,0,5,2,1,3,1,1,2,1,1
11,2,4,2,1,2,1,1,2,1,1
12,1,1,1,1,3,1,1,2,1,2
13,2,3,2,1,3,1,1,2,1,1
14,0,5,2,1,2,1,1,2,1,1
15,0,5,2,1,3,1,1,2,1,1
16,2,2,1,1,3,1,1,2,1,2
17,2,4,2,1,2,1,1,2,1,2
18,2,3,2,1,2,1,1,2,1,1
19,1,0,1,1,2,1,1,2,1,2
20,1,4,2,1,2,1,1,2,1,1
21,0,5,2,1,3,1,1,2,1,1
22,4,2,1,1,3,1,2,2,1,2
23,0,5,2,1,2,1,1,2,1,1
24,5,3,3,1,2,1,1,1,1,2
25,0,5,1,1,3,1,1,2,1,1
26,1,3,1,1,3,1,1,2,1,2
27,0,5,2,1,3,1,1,2,1,1
28,0,5,2,1,3,1,1,2,1,2
29,2,0,1,1,3,1,2,2,1,2
30,2,0,2,1,3,1,1,2,1,2
31,0,5,2,1,3,1,1,2,1,1
32,2,0,1,1,3,1,1,2,1,2
33,0,5,2,1,3,1,1,2,1,2
34,2,3,2,1,3,1,1,2,1,2
35,2,0,2,1,2,1,1,2,1,1
36,1,0,1,1,3,1,1,2,1,1
37,2,0,1,1,2,1,2,2,1,1
38,2,0,1,2,2,3,1,2,1,2
39,2,0,1,1,2,1,2,2,1,2
40,0,5,2,1,3,1,1,2,1,1
41,2,3,2,1,1,1,1,2,1,1
42,2,0,1,1,2,1,1,2,1,1
43,2,4,2,1,1,1,1,2,1,1
44,2,4,1,1,3,1,1,2,1,1
45,2,0,1,1,3,1,2,2,1,2
46,2,0,1,2,3,1,2,2,1,1
47,2,0,1,1,2,1,2,2,1,1
48,0,5,2,1,2,1,1,2,1,1
49,2,4,2,1,3,1,2,2,1,2
50,2,4,2,1,3,1,1,2,1,1
51,0,5,2,1,3,1,1,2,1,1
52,2,0,2,1,3,1,2,2,1,2
53,2,2,0,2,3,1,2,2,1,2
54,2,0,1,1,3,1,2,2,1,2
