,landmass,zone,area,population,language,religion,bars,stripes,colours,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text
0,5,1,648.0,16.0,10,2,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
1,3,1,29.0,3.0,6,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0
2,4,1,2388.0,20.0,8,2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0
3,6,3,0.0,0.0,1,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0
4,3,1,0.0,0.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,4,2,1247.0,7.0,10,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
6,1,4,0.0,0.0,1,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
7,1,4,0.0,0.0,1,1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
8,2,3,2777.0,28.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
9,2,3,2777.0,28.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
10,6,2,7690.0,15.0,1,1,0.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,0,0,0,0,0
11,3,1,84.0,8.0,4,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
12,1,4,19.0,0.0,1,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
13,5,1,1.0,0.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
14,5,1,143.0,90.0,6,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
15,1,4,0.0,0.0,1,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
16,3,1,31.0,10.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
17,1,4,23.0,0.0,1,1,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1
18,4,1,113.0,3.0,3,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
19,1,4,0.0,0.0,1,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,0
20,5,1,47.0,1.0,10,3,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1,0
21,2,3,1099.0,6.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
22,4,2,600.0,1.0,10,5,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
23,2,3,8512.0,119.0,6,0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,22.0,0,0,0,0,1
24,1,4,0.0,0.0,1,1,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0,0,1,1,1
25,5,1,6.0,0.0,10,2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1
26,3,1,111.0,9.0,5,6,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0
27,4,4,274.0,7.0,3,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
28,5,1,678.0,35.0,10,3,0.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,0,0,1,1,0
29,4,2,28.0,4.0,10,5,0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0,0,0,0,0
30,4,1,474.0,8.0,3,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
31,1,4,9976.0,24.0,1,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
32,4,4,4.0,0.0,6,0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0
33,1,4,0.0,0.0,1,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1
34,4,1,623.0,2.0,10,5,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
35,4,1,1284.0,4.0,3,5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
36,2,3,757.0,11.0,2,0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0
37,5,1,9561.0,1008.0,7,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0
38,2,4,1139.0,28.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
39,4,2,2.0,0.0,3,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1,0,0,0,0
40,4,2,342.0,2.0,10,5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0
41,6,3,0.0,0.0,1,1,0.0,0.0,4.0,1.0,1.0,1.0,1.0,15.0,0,0,0,0,0
42,1,4,51.0,2.0,2,0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
43,1,4,115.0,10.0,2,6,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
44,3,1,9.0,1.0,6,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0
45,3,1,128.0,15.0,5,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
46,3,1,43.0,5.0,6,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
47,4,1,22.0,0.0,3,2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
48,1,4,0.0,0.0,1,1,0.0,0.0,6.0,1.0,0.0,0.0,0.0,10.0,0,0,0,1,0
49,1,4,49.0,6.0,2,0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
50,2,3,284.0,8.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
51,4,1,1001.0,47.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1
52,1,4,21.0,5.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
53,4,1,28.0,0.0,10,5,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
54,4,1,1222.0,31.0,10,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
55,3,4,1.0,0.0,6,1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
56,2,3,12.0,0.0,1,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,1
57,6,2,18.0,1.0,1,1,0.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,0,0,1,1,0
58,3,1,337.0,5.0,9,1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
59,3,1,547.0,54.0,3,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
60,2,4,91.0,0.0,3,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
61,6,3,4.0,0.0,3,0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0
62,4,2,268.0,1.0,10,5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
63,4,4,10.0,1.0,1,5,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
64,3,1,108.0,17.0,4,6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
65,3,1,249.0,61.0,4,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
66,4,4,239.0,14.0,1,5,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
67,3,4,0.0,0.0,1,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
68,3,1,132.0,10.0,6,1,0.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0
69,1,4,2176.0,0.0,6,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
70,1,4,0.0,0.0,1,1,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0,1,0,1,0
71,6,1,0.0,0.0,1,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1
72,1,4,109.0,8.0,2,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
73,4,4,246.0,6.0,3,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
74,4,4,36.0,1.0,6,5,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
75,2,4,215.0,1.0,1,4,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
76,1,4,28.0,6.0,3,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
77,1,4,112.0,4.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0,0,0,0
78,5,1,1.0,5.0,7,3,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,1
79,3,1,93.0,11.0,9,6,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
80,3,4,103.0,0.0,6,1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0
81,5,1,3268.0,684.0,6,4,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0
82,6,2,1904.0,157.0,10,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
83,5,1,1648.0,39.0,6,2,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1
84,5,1,435.0,14.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0
85,3,4,70.0,3.0,1,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
86,5,1,21.0,4.0,10,7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
87,3,1,301.0,57.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
88,4,4,323.0,7.0,3,5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
89,1,4,11.0,2.0,1,1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
90,5,1,372.0,118.0,9,7,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0
91,5,1,98.0,2.0,8,2,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
92,5,1,181.0,6.0,10,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
93,4,1,583.0,17.0,10,5,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0
