,red,green,blue,yellow,white,black,orange
0,1,1,0,1,1,1,0
1,1,0,0,1,0,1,0
2,1,1,0,0,1,0,0
3,1,0,1,1,1,0,1
4,1,0,1,1,0,0,0
5,1,0,0,1,0,1,0
6,0,0,1,0,1,0,1
7,1,0,1,1,1,1,0
8,0,0,1,0,1,0,0
9,0,0,1,1,1,0,0
10,1,0,1,0,1,0,0
11,1,0,0,0,1,0,0
12,0,0,1,1,0,1,0
13,1,0,0,0,1,0,0
14,1,1,0,0,0,0,0
15,0,0,1,1,0,1,0
16,1,0,0,1,0,1,0
17,1,1,1,1,1,1,1
18,1,1,0,0,0,0,0
19,1,1,1,1,1,1,0
20,1,0,0,0,1,1,1
21,1,1,0,1,0,0,0
22,0,0,1,0,1,1,0
23,0,1,1,1,1,0,0
24,1,1,1,1,1,0,1
25,1,0,0,1,1,1,0
26,1,1,1,1,1,0,0
27,1,1,0,1,0,0,0
28,1,0,1,0,1,0,0
29,1,1,0,0,1,0,0
30,1,1,0,1,0,0,0
31,1,0,0,0,1,0,0
32,1,1,0,1,0,1,1
33,1,1,1,1,1,0,1
34,1,1,1,1,1,0,0
35,1,0,1,1,0,0,0
36,1,0,1,0,1,0,0
37,1,0,0,1,0,0,0
38,1,0,1,1,0,0,0
39,0,1,0,0,1,0,0
40,1,1,0,1,0,0,0
41,1,0,1,0,1,0,0
42,1,0,1,0,1,0,0
43,1,0,1,0,1,0,0
44,0,1,0,1,1,0,0
45,1,0,1,0,1,0,0
46,1,0,0,0,1,0,0
47,1,1,1,0,1,0,0
48,1,1,1,1,1,1,0
49,1,0,1,0,1,0,0
50,1,0,1,1,0,0,0
51,1,0,0,1,1,1,0
52,0,0,1,0,1,0,0
53,1,1,1,0,1,0,0
54,1,1,0,1,0,0,0
55,1,0,1,0,1,0,0
56,1,1,1,1,1,0,0
57,1,1,1,1,1,0,1
58,0,0,1,0,1,0,0
59,1,0,1,0,1,0,0
60,1,0,1,0,1,0,0
61,1,0,1,1,1,1,0
62,0,1,1,1,0,0,0
63,1,1,1,0,1,0,0
64,1,0,0,1,0,1,0
65,1,0,0,1,0,1,0
66,1,1,0,1,0,1,0
67,1,0,0,1,1,0,0
68,0,0,1,0,1,0,0
69,1,0,0,0,1,0,0
70,1,1,0,1,0,0,0
71,1,1,1,1,1,0,1
72,0,0,1,0,1,0,0
73,1,1,0,1,0,0,0
74,1,1,0,1,0,1,0
75,1,1,0,1,1,1,0
76,1,0,0,0,0,1,0
77,0,0,1,0,1,0,0
78,1,1,1,1,1,0,1
79,1,1,0,0,1,0,0
80,1,0,1,0,1,0,0
81,0,1,1,0,1,0,1
82,1,0,0,0,1,0,0
83,1,1,0,0,1,0,0
84,1,1,0,0,1,1,0
85,0,1,0,0,1,0,1
86,0,0,1,0,1,0,0
87,1,1,0,0,1,0,0
88,1,1,0,0,1,0,0
89,0,1,0,1,0,1,0
90,1,0,0,0,1,0,0
91,1,1,0,0,1,1,0
92,1,0,0,1,0,0,0
93,1,1,0,0,1,1,0
94,1,0,1,1,1,0,0
95,1,1,0,0,1,1,0
96,1,0,1,0,1,0,0
97,1,1,0,0,1,0,1
98,1,1,1,0,1,0,0
99,1,0,1,0,1,0,0
100,0,1,0,0,0,0,0
101,1,0,1,1,0,0,0
102,1,0,1,0,1,0,0
103,1,1,0,0,1,0,0
104,1,1,0,0,0,1,0
105,1,0,1,1,1,0,0
106,1,1,0,0,1,0,0
107,1,1,0,1,0,0,0
108,1,0,0,0,1,1,0
109,0,0,1,0,1,0,0
110,0,1,0,1,0,0,0
111,1,1,1,1,0,0,0
112,1,1,0,0,1,0,1
113,0,0,1,0,1,0,0
114,1,0,0,0,1,0,0
115,1,0,1,1,0,0,0
116,1,1,1,1,1,1,0
117,1,1,0,0,0,0,0
118,1,1,0,1,1,1,0
119,0,0,1,1,1,0,0
120,0,0,1,0,1,0,1
121,1,0,1,0,1,0,0
122,1,0,1,0,1,0,0
123,1,0,1,0,1,0,0
124,0,0,1,0,1,0,0
125,0,1,0,0,1,0,1
126,0,1,0,0,1,0,0
127,1,0,1,1,1,0,0
128,1,0,1,0,1,0,0
129,1,1,0,0,1,1,0
130,1,0,1,0,1,0,0
131,1,1,0,0,1,0,0
132,0,1,0,0,1,0,0
133,1,0,1,0,1,0,0
134,1,0,0,1,1,1,0
135,1,1,1,1,1,1,0
136,1,0,0,0,1,0,0
137,1,0,1,1,1,0,0
138,1,0,0,0,1,0,0
139,1,1,1,1,1,0,0
140,1,0,1,0,1,0,0
141,0,0,0,0,1,0,1
142,1,1,1,1,1,0,1
143,1,1,0,1,0,1,0
144,0,0,1,0,1,0,0
145,1,1,0,1,0,1,0
146,0,1,0,0,1,0,0
147,1,1,0,1,0,0,0
148,1,1,0,0,1,0,0
149,0,1,1,0,1,0,0
150,1,0,0,0,1,0,0
151,0,1,1,1,1,0,0
152,0,0,1,0,1,0,0
153,1,1,1,0,1,0,1
154,1,0,1,0,1,1,0
155,1,0,1,0,1,1,0
156,1,0,0,1,0,0,0
157,0,1,0,1,0,0,1
158,1,1,1,1,1,0,1
159,1,1,0,1,1,1,0
160,0,0,1,1,1,1,0
161,0,1,1,1,1,0,0
162,1,1,0,0,1,1,0
163,1,1,0,1,1,0,0
164,1,0,1,1,1,1,1
165,0,0,1,1,0,0,0
166,1,0,0,0,1,0,0
167,1,1,0,0,1,1,0
168,1,0,1,0,1,0,0
169,0,1,1,1,0,1,0
170,1,0,1,0,1,0,0
171,1,1,0,1,1,0,0
172,1,0,0,0,1,0,0
173,1,0,0,0,1,1,0
174,1,0,0,0,1,0,0
175,1,0,0,0,1,0,0
176,1,1,1,1,1,0,1
177,1,0,1,1,1,0,0
178,1,1,0,0,1,1,0
179,1,0,0,1,1,1,0
180,1,0,1,0,1,0,0
181,0,0,1,1,1,0,0
182,1,1,1,1,1,0,0
183,1,0,1,0,1,0,0
184,1,0,0,1,0,0,0
185,1,1,0,1,0,1,0
186,1,0,0,1,1,1,0
187,1,1,1,1,1,1,1
188,1,0,0,1,0,0,0
189,1,0,1,0,1,0,0
190,1,0,1,1,1,0,0
191,1,1,0,1,0,0,1
192,1,1,0,0,0,1,1
193,1,1,0,1,1,1,0
