frequency,time,expenses,motivation,taste,hygiene,menu,presentation,attendance,ingredients,place.to.sit,takeaway,variation,stop.strucks,schedule,gender,age.group,scholarity,average.income,has.work,marital.status
2.0,dinner,30.0,friend,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,M,2.0,1.5,4.0,0.0,single
0.0,dinner,20.0,by_chance,5.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,F,3.0,2.0,5.0,1.0,married
1.0,afternoon,15.0,by_chance,5.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,M,2.0,1.5,4.0,1.0,single
0.0,lunch,40.0,friend,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,M,3.0,2.0,6.0,1.0,single
0.0,dinner,15.0,social_network,5.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,M,2.0,1.5,4.0,1.0,single
1.0,dinner,20.0,friend,5.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,M,2.0,1.5,1.0,0.0,single
1.0,dinner,20.0,friend,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,1.0,M,3.0,2.0,1.0,1.0,single
0.0,dinner,15.0,by_chance,5.0,4.0,3.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0,1.0,F,3.0,2.0,2.0,0.0,single
1.0,dinner,20.0,social_network,5.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,F,2.0,1.5,6.0,0.0,single
0.0,dinner,40.0,friend,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,M,2.0,1.5,3.0,1.0,single
0.0,dinner,15.0,by_chance,5.0,4.0,3.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0,1.0,F,3.0,2.0,2.0,0.0,single
1.0,dinner,20.0,social_network,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,5.0,3.0,M,3.0,3.0,2.0,1.0,married
1.0,dinner,20.0,social_network,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,2.0,5.0,3.0,F,2.0,1.0,4.0,0.0,single
1.0,dinner,40.0,friend,5.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,1.0,M,3.0,1.5,3.0,1.0,single
1.0,dinner,20.0,social_network,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,F,3.0,3.0,3.0,1.0,single
1.0,dinner,20.0,social_network,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,F,2.0,3.0,3.0,0.0,single
1.0,dinner,20.0,social_network,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,F,3.0,3.0,3.0,1.0,single
1.0,dinner,20.0,social_network,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,F,2.0,1.5,3.0,0.0,single
1.0,dinner,15.0,friend,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,M,4.0,4.0,5.0,1.0,single
0.0,dinner,30.0,friend,5.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,1.0,2.0,M,2.0,1.5,6.0,0.0,single
1.0,dinner,20.0,social_network,5.0,3.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,M,2.0,1.5,1.0,1.0,single
1.0,dinner,15.0,friend,5.0,4.0,1.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,F,2.0,1.5,1.0,1.0,single
0.0,dinner,20.0,social_network,5.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,M,2.0,1.5,3.0,1.0,single
1.0,dinner,30.0,social_network,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,F,2.0,1.5,1.0,1.0,single
0.0,happy_hour,20.0,friend,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,F,6.0,2.0,3.0,1.0,married
4.0,dinner,20.0,friend,5.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,2.0,F,3.0,2.0,1.0,1.0,single
2.0,happy_hour,20.0,friend,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,M,3.0,2.0,4.0,0.0,single
0.0,dinner,30.0,by_chance,5.0,4.0,4.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,1.0,F,2.0,3.0,4.0,0.0,single
0.0,happy_hour,20.0,by_chance,5.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,4.0,2.0,4.0,F,2.0,1.5,2.0,0.0,single
