,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14
0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,0,0,0,0,0,0,0,1,1,0
3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,1,1,1,0
6,1,0,0,0,0,0,0,0,0,0,0,1,1,0
7,1,0,1,1,0,0,0,0,0,0,0,1,1,0
8,1,1,0,0,0,0,0,0,0,0,0,1,1,0
9,0,0,1,1,0,0,0,0,0,0,0,1,1,0
10,0,0,0,0,1,1,1,1,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,1,1,1,1,0
12,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,1,0,0,0,0,0,0,1,1,0
14,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,1,0,1,1,0,0,0,0,0,1,1,1,1,0
16,0,0,0,0,1,1,0,0,0,0,0,1,1,0
17,1,1,0,0,0,0,0,0,0,0,0,1,1,0
18,0,0,0,1,1,0,0,0,0,0,0,1,1,0
19,0,0,1,1,0,0,0,0,0,0,0,1,1,0
20,0,0,1,1,0,0,0,0,0,0,0,1,1,0
21,1,1,0,0,0,0,0,0,0,0,0,1,1,0
22,0,0,0,0,1,1,1,1,0,0,0,0,0,0
23,0,0,0,0,1,1,1,1,0,0,1,1,1,0
24,0,1,1,0,1,1,0,0,0,0,0,1,1,0
25,0,1,1,0,0,0,0,0,1,1,0,1,1,0
26,1,1,0,0,0,1,1,1,0,0,0,1,1,0
27,0,0,0,0,1,1,1,1,0,0,0,1,1,0
28,1,1,0,0,1,1,0,0,0,0,0,0,0,0
29,1,0,0,0,0,1,1,0,0,0,0,0,0,0
30,0,0,0,1,1,0,0,0,0,0,0,1,1,0
31,0,0,0,0,0,0,0,1,1,0,0,0,0,0
32,1,1,1,1,0,0,0,0,0,0,0,1,1,0
33,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1,1,0,1,1,0,0,0,1,1,1,1,0
35,0,0,1,1,0,0,0,0,0,0,0,1,1,0
