Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19
5,1,648.0,16.0,10,2,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
3,1,29.0,3.0,6,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0
4,1,2388.0,20.0,8,2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0
6,3,0.0,0.0,1,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0
3,1,0.0,0.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
4,2,1247.0,7.0,10,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
1,4,0.0,0.0,1,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
1,4,0.0,0.0,1,1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0
2,3,2777.0,28.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2,3,2777.0,28.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
6,2,7690.0,15.0,1,1,0.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,0,0,0,0,0
3,1,84.0,8.0,4,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,19.0,0.0,1,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
5,1,1.0,0.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
5,1,143.0,90.0,6,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,0.0,0.0,1,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
3,1,31.0,10.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,4,23.0,0.0,1,1,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1
4,1,113.0,3.0,3,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1,4,0.0,0.0,1,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,0
5,1,47.0,1.0,10,3,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1,0
